text,user
"RT @ItsMose: This account will NEVER NEVER tolerate racism, bullying, sexism, homophobia, Islamophobia, anti-semitism, and transphobia. Thi…",1
RT @neblitweets: yall hate outspoken people bc they confront you and make you look in the mirror. you don't like what you see and turn that…,2
"RT @ZachWLambert: When people say it’s “divisive” to talk about about racism, sexism, nationalism, and other forms of oppression, just reme…",3
"@VorheesMonster Hey had the put extra hot sauce on it cause  of  homophobia, transphobia, sexism, and racism  that… https://t.co/7PuDHv7lmG",4
RT @neblitweets: yall hate outspoken people bc they confront you and make you look in the mirror. you don't like what you see and turn that…,5
"RT @joyfulkangaji: Do you know what’s scary here? A lot of you always rt and tweet about equality, racism, sexism, and other social issues.…",6
"RT @joyfulkangaji: Do you know what’s scary here? A lot of you always rt and tweet about equality, racism, sexism, and other social issues.…",7
RT @TheSWDiva: I've worked remote since 2012 and aint none of that ever stopped me. You so can build relationships outside the workplace. M…,8
"RT @joyfulkangaji: Do you know what’s scary here? A lot of you always rt and tweet about equality, racism, sexism, and other social issues.…",9
RT @neblitweets: yall hate outspoken people bc they confront you and make you look in the mirror. you don't like what you see and turn that…,10
"Do you know what’s scary here? A lot of you always rt and tweet about equality, racism, sexism, and other social is… https://t.co/KQp3rCRb8l",11
"RT @ZachWLambert: When people say it’s “divisive” to talk about about racism, sexism, nationalism, and other forms of oppression, just reme…",12
RT @tomemurtha: Strange commentary on the cricket. Saying how difficult it must be for the bowler who made racist and sexist tweets. No tho…,13
"@ronhenzel I share the same concern. In a quick spin through Twitter-verse, it seems having these concerns confirms… https://t.co/eXN3547kF2",14
@GovChrisSununu please veto the “divisive concepts bill” when it gets to your desk. We do not need this. Teachers n… https://t.co/LmjpN2yUXQ,15
"Systemic racism/sexism and similar does have a factor in minority PoC VA getting more work. However, experience and… https://t.co/QvpUOfpm6t",16
"@Young_Peno @TherealNihal If by destroying racism, inequality, sexism, to allow people who look different to walk t… https://t.co/Dp0JactrV3",17
"RT @ZachWLambert: When people say it’s “divisive” to talk about about racism, sexism, nationalism, and other forms of oppression, just reme…",18
@StevenSkelton1 @RichardManzoNH @nsarwark Yes and not sure yet. CRT is becoming a nightmare created by Republicans… https://t.co/F6s1kgmGzQ,19
@revmagdalen I consider it a Neo-Confederate movement of sorts. \n\nA lot of Americans have been groomed to accept au… https://t.co/cTFuLOnLms,20
@Tracy_Pierceall Yup.\n\nhttps://t.co/5KaOqxdD7X,21
"@KingOfBadTakes @TuckerCarlson He is one of those people I can’t support at all, too many accounts of sexism, racis… https://t.co/7amzqVBc30",22
"RT @ZachWLambert: When people say it’s “divisive” to talk about about racism, sexism, nationalism, and other forms of oppression, just reme…",23
"RT @ZachWLambert: When people say it’s “divisive” to talk about about racism, sexism, nationalism, and other forms of oppression, just reme…",24
"RT @ZachWLambert: When people say it’s “divisive” to talk about about racism, sexism, nationalism, and other forms of oppression, just reme…",25
"@pegobry @kaschuta Sorry dude, racism, homophobia and sexism will never be progressive. TRAs/MRAs are the old schoo… https://t.co/vtuMZmQKuD",26
"@jimcramer @Sarge986 I have my doubts about communist propagandist media. Especially NBC. Climate alarmist garbage,… https://t.co/YJvmamUEKg",27
"RT @ZachWLambert: When people say it’s “divisive” to talk about about racism, sexism, nationalism, and other forms of oppression, just reme…",28
नस्लभेद और लिंगभेद संबंधी आठ वर्ष पुराने ट्वीट को लेकर ओली रोबिंसन ने मांगी माफी https://t.co/Lt3vtc1IMM,29
"@RepMTG seek attention, spread hate, racism, sexism and white supremcist policies.",30
"Yeah, it’s going to change, even the entertainment and fantasies are ANNOYING THE PEOPLE. \nThe citizens of the worl… https://t.co/BYxIOkRdtW",31
"RT @ZachWLambert: When people say it’s “divisive” to talk about about racism, sexism, nationalism, and other forms of oppression, just reme…",32
"RT @DannySlavich: But WILL it be? “The Great Commission” can’t be used as a smokescreen to allow unchecked racism, sexism, and slander. htt…",33
"@dandarling I assume since it’s just a few in leadership they’ll easily be removed then, right? No? Then it’s eithe… https://t.co/oSJQcYiBWb",34
"But WILL it be? “The Great Commission” can’t be used as a smokescreen to allow unchecked racism, sexism, and slande… https://t.co/4caNyyVVQE",35
